"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
"70082","High category appartment Belgrano",353823,"Maria De Los Angeles",NA,"Palermo",-34.56926,-58.4437,"Entire home/apt",5487,20,41,2022-10-30,0.29,1,277,2,NA
"169300","Great & Cozy Apartment in Palermo Hollywood",806757,"Tomas",NA,"Palermo",-34.5783157348633,-58.430248260498,"Entire home/apt",7239,2,12,2017-03-04,0.16,1,309,0,NA
"371898","10th floor comfortable apartment + Swimming pool!",1794617,"Manu",NA,"San Cristobal",-34.62208,-58.39676,"Entire home/apt",2995,90,9,2021-10-18,0.17,1,355,0,NA
"172118","Owner Featured on HGTV- Spacious Palermo Soho Loft",791090,"Jamais",NA,"Palermo",-34.58735,-58.42186,"Entire home/apt",17443,4,78,2022-10-24,0.57,1,117,10,NA
"71801","Studio in Recoleta most secure area",368954,"Carlos",NA,"Recoleta",-34.59514,-58.39914,"Entire home/apt",10219,3,104,2022-12-12,0.72,1,322,8,NA
"372072","5 stars studios in Palermo,new!/",444416,"Claudia",NA,"Palermo",-34.59645,-58.42064,"Entire home/apt",3524,3,30,2022-07-17,0.23,25,3,4,NA
"172135","Recoleta full equipped Apartment",523775,"Silvia  Diana",NA,"Recoleta",-34.58983,-58.39786,"Entire home/apt",6872,3,78,2022-12-19,0.57,1,47,17,NA
"372073","5 stars studios in Palermo,new!/",444416,"Claudia",NA,"Palermo",-34.59461,-58.42245,"Entire home/apt",3524,3,21,2022-07-16,0.16,25,120,1,NA
"372075","Studios 5 Stars in Palermo ,new 3C",444416,"Claudia",NA,"Palermo",-34.59602,-58.42023,"Entire home/apt",3524,3,55,2022-10-17,0.42,25,274,6,NA
"175005","1 BR flat in Palermo Soho",836368,"Daniele",NA,"Palermo",-34.5862,-58.42465,"Entire home/apt",7199,3,189,2022-11-09,1.37,3,155,14,NA
"175081","1 BR flat in Palermo",836368,"Daniele",NA,"Palermo",-34.5892718,-58.419794,"Entire home/apt",6644,3,145,2022-11-28,1.09,3,121,13,NA
"72204","Beautiful house in Palermo SOHO",373629,"Daniel",NA,"Palermo",-34.5902,-58.42993,"Entire home/apt",77014,3,24,2022-12-19,0.28,11,336,1,NA
"372085","5 stars studios in Palermo,new! C",444416,"Claudia",NA,"Palermo",-34.59483,-58.42052,"Entire home/apt",3524,3,28,2022-08-29,0.21,25,272,5,NA
